,country_name,country_capital,country_population,country_area
167,Andorra,Andorra,84000,468.0
168,Andorra,Andorra,84000,468.0
169,Andorra,Andorra,84000,468.0
170,Andorra,Andorra,84000,468.0
171,Andorra,Andorra,84000,468.0
172,Andorra,Andorra,84000,468.0
173,Andorra,Andorra,84000,468.0
174,Andorra,Andorra,84000,468.0
175,Andorra,Andorra,84000,468.0
176,Andorra,Andorra,84000,468.0
177,Andorra,Andorra,84000,468.0
178,Andorra,Andorra,84000,468.0
179,Andorra,Andorra,84000,468.0
180,Andorra,Andorra,84000,468.0
181,Andorra,Andorra,84000,468.0
182,Andorra,Andorra,84000,468.0
183,Andorra,Andorra,84000,468.0
184,Andorra,Andorra,84000,468.0
185,Andorra,Andorra,84000,468.0
186,Andorra,Andorra,84000,468.0
187,Andorra,Andorra,84000,468.0
188,Andorra,Andorra,84000,468.0
189,Andorra,Andorra,84000,468.0
190,Andorra,Andorra,84000,468.0
191,Andorra,Andorra,84000,468.0
192,Andorra,Andorra,84000,468.0
193,Andorra,Andorra,84000,468.0
194,Andorra,Andorra,84000,468.0
195,Andorra,Andorra,84000,468.0
196,Andorra,Andorra,84000,468.0
197,Andorra,Andorra,84000,468.0
198,Andorra,Andorra,84000,468.0
199,Andorra,Andorra,84000,468.0
200,Andorra,Andorra,84000,468.0
201,Andorra,Andorra,84000,468.0
202,Andorra,Andorra,84000,468.0
203,Andorra,Andorra,84000,468.0
204,Andorra,Andorra,84000,468.0
205,Andorra,Andorra,84000,468.0
206,Andorra,Andorra,84000,468.0
207,Andorra,Andorra,84000,468.0
208,Andorra,Andorra,84000,468.0
209,Andorra,Andorra,84000,468.0
210,Andorra,Andorra,84000,468.0
211,Andorra,Andorra,84000,468.0
212,Andorra,Andorra,84000,468.0
213,Andorra,Andorra,84000,468.0
214,Andorra,Andorra,84000,468.0
215,Andorra,Andorra,84000,468.0
216,Andorra,Andorra,84000,468.0
217,Andorra,Andorra,84000,468.0
218,Andorra,Andorra,84000,468.0
219,Andorra,Andorra,84000,468.0
220,Andorra,Andorra,84000,468.0
221,Andorra,Andorra,84000,468.0
222,Andorra,Andorra,84000,468.0
223,Andorra,Andorra,84000,468.0
224,Andorra,Andorra,84000,468.0
225,Andorra,Andorra,84000,468.0
226,Andorra,Andorra,84000,468.0
227,Andorra,Andorra,84000,468.0
228,Andorra,Andorra,84000,468.0
229,Andorra,Andorra,84000,468.0
230,Andorra,Andorra,84000,468.0
231,Andorra,Andorra,84000,468.0
232,Andorra,Andorra,84000,468.0
233,Andorra,Andorra,84000,468.0
234,Andorra,Andorra,84000,468.0
235,Andorra,Andorra,84000,468.0
236,Andorra,Andorra,84000,468.0
237,Andorra,Andorra,84000,468.0
238,Andorra,Andorra,84000,468.0
239,Andorra,Andorra,84000,468.0
240,Andorra,Andorra,84000,468.0
241,Andorra,Andorra,84000,468.0
242,Andorra,Andorra,84000,468.0
243,Andorra,Andorra,84000,468.0
244,Andorra,Andorra,84000,468.0
245,Andorra,Andorra,84000,468.0
246,Andorra,Andorra,84000,468.0
247,Andorra,Andorra,84000,468.0
248,Andorra,Andorra,84000,468.0
249,Andorra,Andorra,84000,468.0
