product_name,price,rating,ram_rom,display_size,camera,battery,processor,warranty,full_description,page,price_clean,rating_clean
N/A,"₹15,499",N/A,4 gb ram | 64 gb,17.27 cm,13mp rear camera,7000 mah,dimensity,1 year,"realme P4 Lite 5G (Mosaic Blue, 64 GB)4.37,817 Ratings & 403 Reviews4 GB RAM | 64 GB ROM17.27 cm (6.8 inches) HD+ Display13MP Rear Camera | 5MP Front Camera7000 mAh lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",1,15499.0,
N/A,"₹11,499",N/A,6 gb ram | 128 gb,17.13 cm,50mp rear camera,6000 mah,N/A,1 year,"Ai+ Pulse 2 (Blue, 128 GB)3.84,804 Ratings & 386 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryT7250 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories",1,11499.0,
N/A,"₹15,499",N/A,4 gb ram | 64 gb,17.27 cm,13mp rear camera,7000 mah,dimensity,1 year,"realme P4 Lite 5G (Mosaic Green, 64 GB)4.37,817 Ratings & 403 Reviews4 GB RAM | 64 GB ROM17.27 cm (6.8 inches) HD+ Display13MP Rear Camera | 5MP Front Camera7000 mAh lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",1,15499.0,
N/A,"₹11,999",N/A,4 gb ram | 64 gb,17.14 cm,13mp rear camera,6300 mah,N/A,1 year,"realme P4 Lite (Beach Gold, 64 GB)43,352 Ratings & 181 Reviews4 GB RAM | 64 GB ROM17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",1,11999.0,
N/A,"₹22,999",N/A,6 gb ram | 128 gb,17.17 cm,50mp + 2mp | 32mp front camera,7200 mah,dimensity,1 year,"vivo T5x 5G (Cyber Green, 128 GB)4.411,940 Ratings & 686 Reviews6 GB RAM | 128 GB ROM17.17 cm (6.76 inch) Display50MP + 2MP | 32MP Front Camera7200 mAh Li-ion BatteryDimensity 7400-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",1,22999.0,
N/A,"₹33,999",N/A,12 gb ram | 256 gb,17.02 cm,50mp + 50mp + 10mp | 50mp front camera,6000 mah,dimensity,1 year,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)4.315,663 Ratings & 1,256 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 10MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories",1,33999.0,
N/A,"₹19,999",N/A,6 gb ram | 128 gb,17.27 cm,50mp rear camera,8000 mah,dimensity,1 year,"realme P4R 5G (Titanium Glare, 128 GB)4.61,001 Ratings & 66 Reviews6 GB RAM | 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera | 8MP Front Camera8000 mAh Lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",1,19999.0,
N/A,"₹21,999",N/A,6 gb ram | 128 gb,17.2 cm,50mp rear camera,5800 mah,snapdragon,1 year,"REDMI Note 15 SE 5G Snapdragon (Carbon Black, 128 GB)4.43,430 Ratings & 266 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP Rear Camera | 20MP Front Camera5800 mAh Lithium-Ion Polymer BatterySnapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",1,21999.0,
N/A,"₹1,087",N/A,N/A,3.66 cm,0mp | 0mp front camera,800 mah,N/A,2 year,MOTOROLA Moto A1003.9374 Ratings & 30 Reviews4 MB RAM | 36 MB ROM | Expandable Upto 0 MB3.66 cm (1.44 inch) HQVGA Display0MP | 0MP Front Camera800 mAh BatteryMtk Processor2 Years Domestic Replacement Warranty,1,1087.0,
N/A,"₹23,999",N/A,8 gb ram | 256 gb,17.14 cm,50mp rear camera,7000 mah,dimensity,1 year,"OPPO K14 5G (Prism White, 256 GB)4.3885 Ratings & 67 Reviews8 GB RAM | 256 GB ROM17.14 cm (6.75 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",1,23999.0,
