Title,Price,Rating,RAM,Display,Camera,Battery,Warranty
"REDMI 15A (Ace Black, 64 GB)","₹14,999",3.9,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.53 cm (6.9 inch) Display,32MP Rear Camera | 8MP Front Camera,6300 mAh Lithium-Ion Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI 15A (Awesome Blue, 128 GB)","₹15,999",3.9,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.53 cm (6.9 inch) Display,32MP Rear Camera | 8MP Front Camera,6300 mAh Lithium-Ion Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Samsung Galaxy F36 5G (Black, 128 GB)","₹17,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Samsung M06 5G (Sage Green, 128 GB)","₹12,086",4.1,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,
"HMD Vibe2 5G (Nordic Blue, 128 GB)","₹14,999",4.6,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Li-Poly Battery,
"IQOO Z11x 5G (Prismatic Green, 128 GB)","₹22,963",4.3,6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,7200 mAh Battery,
"REDMI 15A (Awesome Blue, 64 GB)","₹14,999",3.9,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.53 cm (6.9 inch) Display,32MP Rear Camera | 8MP Front Camera,6300 mAh Lithium-Ion Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"HMD VIBE2 5G (Nordic Blue, 128 GB)","₹16,999",4.5,6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Li-Poly Battery,
"realme P4 Lite 5G (Mosaic Green, 128 GB)","₹18,999",4.3,6 GB RAM | 128 GB ROM,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,7000 mAh lithium-ion polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Samsung M06 5G (Blazing Black, 128 GB)","₹12,047",4.1,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,
"OPPO K14 5G (Icy Blue, 256 GB)","₹21,999",4.4,6 GB RAM | 256 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"realme P4 Lite 5G (Mosaic Blue, 64 GB)","₹15,499",4.3,4 GB RAM | 64 GB ROM,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,7000 mAh lithium-ion polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Ai+ Pulse 2 (Blue, 128 GB)","₹11,499",3.8,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
"realme P4 Lite 5G (Mosaic Green, 64 GB)","₹15,499",4.3,4 GB RAM | 64 GB ROM,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,7000 mAh lithium-ion polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
